asa_NoVuelo,asa_AerolineaICAO,asa_FechaHoraSlot,asa_FechaHoraPosicion2,asa_TipoAvion,asa_Terminal,asa_Posicion,asa_TipoOperacion,slot,posicion2,delay_to_gate,hour_sin,hour_cos,day_sin,day_cos,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24
340.0,AMX,2026-08-03 21:45:00,2026-03-08 22:00:00,E190,T2,89,D,2026-08-03 21:45:00,2026-03-08 22:00:00,15,-0.555570233019603,0.8314696123025447,0.0,1.0,21.0,-4.0,-12.0,15.0,10.0,-7.0,26.0,12.0,30.0,14.0,4.0,9.0,23.0,30.0,69.0,16.0,10.0,55.0,-7.0,-1.0,23.0,106.0,32.0,-10.0
1057.0,AMX,2026-08-03 21:45:00,2026-03-08 21:50:00,E190,T2,88,A,2026-08-03 21:45:00,2026-03-08 21:50:00,5,-0.555570233019603,0.8314696123025447,0.0,1.0,15.0,21.0,-4.0,-12.0,15.0,10.0,-7.0,26.0,12.0,30.0,14.0,4.0,9.0,23.0,30.0,69.0,16.0,10.0,55.0,-7.0,-1.0,23.0,106.0,32.0
1248.0,VIV,2026-08-03 21:45:00,2026-03-08 22:19:00,A321,T1,16,D,2026-08-03 21:45:00,2026-03-08 22:19:00,34,-0.555570233019603,0.8314696123025447,0.0,1.0,5.0,15.0,21.0,-4.0,-12.0,15.0,10.0,-7.0,26.0,12.0,30.0,14.0,4.0,9.0,23.0,30.0,69.0,16.0,10.0,55.0,-7.0,-1.0,23.0,106.0
1639.0,AMX,2026-08-03 21:50:00,2026-03-08 21:52:00,E190,T2,74,A,2026-08-03 21:50:00,2026-03-08 21:52:00,2,-0.537299608346825,0.8433914458128849,0.0,1.0,34.0,5.0,15.0,21.0,-4.0,-12.0,15.0,10.0,-7.0,26.0,12.0,30.0,14.0,4.0,9.0,23.0,30.0,69.0,16.0,10.0,55.0,-7.0,-1.0,23.0
259.0,AMX,2026-08-03 21:50:00,2026-03-08 21:38:00,B738,T2,77,A,2026-08-03 21:50:00,2026-03-08 21:38:00,-12,-0.537299608346825,0.8433914458128849,0.0,1.0,2.0,34.0,5.0,15.0,21.0,-4.0,-12.0,15.0,10.0,-7.0,26.0,12.0,30.0,14.0,4.0,9.0,23.0,30.0,69.0,16.0,10.0,55.0,-7.0,-1.0
403.0,AMX,2026-08-03 21:50:00,2026-03-08 21:48:00,B738,T2,62,A,2026-08-03 21:50:00,2026-03-08 21:48:00,-2,-0.537299608346825,0.8433914458128849,0.0,1.0,-12.0,2.0,34.0,5.0,15.0,21.0,-4.0,-12.0,15.0,10.0,-7.0,26.0,12.0,30.0,14.0,4.0,9.0,23.0,30.0,69.0,16.0,10.0,55.0,-7.0
58.0,AMX,2026-08-03 21:50:00,2026-03-08 22:00:00,B789,T2,58A,D,2026-08-03 21:50:00,2026-03-08 22:00:00,10,-0.537299608346825,0.8433914458128849,0.0,1.0,-2.0,-12.0,2.0,34.0,5.0,15.0,21.0,-4.0,-12.0,15.0,10.0,-7.0,26.0,12.0,30.0,14.0,4.0,9.0,23.0,30.0,69.0,16.0,10.0,55.0
686.0,KLM,2026-08-03 21:50:00,2026-03-08 21:57:00,B789,T1,33A,D,2026-08-03 21:50:00,2026-03-08 21:57:00,7,-0.537299608346825,0.8433914458128849,0.0,1.0,10.0,-2.0,-12.0,2.0,34.0,5.0,15.0,21.0,-4.0,-12.0,15.0,10.0,-7.0,26.0,12.0,30.0,14.0,4.0,9.0,23.0,30.0,69.0,16.0,10.0
28.0,AMX,2026-08-03 21:55:00,2026-03-08 22:09:00,B789,T2,57A,D,2026-08-03 21:55:00,2026-03-08 22:09:00,14,-0.5187732581605214,0.8549118706729466,0.0,1.0,7.0,10.0,-2.0,-12.0,2.0,34.0,5.0,15.0,21.0,-4.0,-12.0,15.0,10.0,-7.0,26.0,12.0,30.0,14.0,4.0,9.0,23.0,30.0,69.0,16.0
842.0,AMX,2026-08-03 21:55:00,2026-03-08 22:49:00,B738,T2,72,D,2026-08-03 21:55:00,2026-03-08 22:49:00,54,-0.5187732581605214,0.8549118706729466,0.0,1.0,14.0,7.0,10.0,-2.0,-12.0,2.0,34.0,5.0,15.0,21.0,-4.0,-12.0,15.0,10.0,-7.0,26.0,12.0,30.0,14.0,4.0,9.0,23.0,30.0,69.0
